,label,text
33,Alcohol,A plastic beer keg includes an outer container and an inner liner. A removable lid is secured over an opening to the container to enclose the liner. The liner includes a neck portion and a body portion. A head contact member transfers axial forces imparted by handling equipment away from the neck portion.
34,Non Autonomous,"A network of collection, charging and distribution machines collect, charge and distribute portable electrical energy storage devices (e.g., batteries, supercapacitors or ultracapacitors). To avoid theft and tampering of the portable electrical energy storage devices, by default, each portable electrical energy storage device is locked in and operably connected to the vehicle to which it provides power unless the vehicle comes within the vicinity of a collection, charging and distribution machine or other authorized external device such as that in a service center. Once within the vicinity of a collection, charging and distribution machine or other authorized external device a locking mechanism in the vehicle or within the portable electrical energy storage device unlocks and allows the portable electrical energy storage device to be exchanged or serviced."
35,Autonomous,"Embodiments described herein provide a highly reliable UUV recovery systems and methods that utilize multiple independent release mechanisms that can detach a load and allow the UUV to float to the surface of the water. One embodiment is a recovery system for a UUV. The recovery system includes a detachable load that renders the UUV neutrally buoyant in water. The recovery system further includes a plurality of release mechanisms that detach the load to render the UUV positively buoyant in the water. The release mechanisms include a first, second, and third release mechanism. The first release mechanism detaches the load in response to a command signal. The second release mechanism detaches the load in response to the UUV being submerged in the water beyond a threshold time. The third release mechanism detaches the load in response to the UUV exceeding a maximum depth in the water."
36,Non-Alcohol,A method for producing cottage cheese by using Streptococcus thermophilus bacteria.
37,Alcohol,"A method was developed for: a) improving the filterability of acid-precipitated lignin from kraft black liquors, b) increasing the dry solids content of the final lignin product, c) reducing the acid requirements and d) minimizing or eliminating TRS emissions during the acidification of black liquor to produce lignin and/or the subsequent suspension of the lignin in acid and/or the washing of the lignin with acid. No major difference in the chemical composition, MWD and main functional groups was found in the lignin of the present invention compared with lignins produced by conventional methods."
38,Non Autonomous,"A driving information restoration system of a vehicle includes: a cluster configured to be operated in a receiving standby mode or transmit driving information stored therein to a diagnosis system depending on a comparison result of the driving information stored therein and driving information stored in controller, display hot key information received from the diagnosis system, transmit information input by a driver to the diagnosis system, and store the driving information received from the diagnosis system."
39,Autonomous,"An SDV on-board computer on an SDV receives an SDV recognition signal from a pedestrian signal transceiver worn by a pedestrian. An SDV signal transceiver on the SDV transmits a pedestrian acknowledgement message to the signal transceiver worn by the pedestrian. The SDV on-board computer receives a pedestrian movement signal from a set of pedestrian sensors that monitor movement of the pedestrian. The SDV on-board computer receives an SDV movement signal from a set of SDV sensors on the SDV that track movement of the SDV. The SDV on-board computer, based on the SDV movement signal and the pedestrian movement signal, directs an SDV control processor on the SDV to modify the movement of the SDV in order to provide the pedestrian with time and space required to avoid the pedestrian being struck by the SDV, and notifies the pedestrian that this SDV movement modification will occur."
40,Non-Alcohol,"The invention provides a deterioration inhibitor containing an amount of a product obtained by treatment of a tea extract with an oxidizing enzyme and then inactivating the enzyme. Addition of a deterioration inhibiting material according to the invention to a food or beverage or a cosmetic can inhibit deterioration of flavor and fragrance, with use in smaller amounts than conventional deterioration inhibitors. A particularly notable effect is exhibited against production of p-cresol and p-methylacetophenone which are citral-derived deterioration odor components, and therefore it is suitable for foods and beverages or cosmetics with citral-containing citrus-like flavors and fragrances."
41,Alcohol,"One exemplary embodiment can be a process for reducing one or more insoluble solids in a black liquor. The process may include hydrothermal processing the black liquor to a temperature of about 250-less than about 300Â° C. for an effective time to reduce the one or more insoluble solids by more than about 40%, by weight, based on a weight of the one or more insoluble solids prior to hydrothermal processing."
42,Non Autonomous,"A method for controlling a function of a motor vehicle (18) employs a use module (4) at a storage location (6, 8) for a device outside the motor vehicle (18). The use module (4) and the storage location (6, 8) have recognition interfaces (10, 12, 14). The motor vehicle (18) has a first communication module (22), and a second communication module (16) is provided for the use module (4) and for the storage location (6, 8). The recognition interfaces make contact when the use module (4) is at the storage location (6, 8). If a storage location (28, 32) change is registered for the use module (4), a message with an instruction to perform the function of the motor vehicle (18) is transferred from the second communication module (16) for the use module (4) and the storage location (6, 8) to the first communication module (22) of the motor vehicle."
43,Autonomous,"A computer-implemented method causes a self-driving vehicle (SDV) to avoid a physical encounter with an animal. One or more sensors on a self-driving vehicle (SDV) capture a description of an environment around an animal that the SDV is approaching. A camera captures an image of the animal that the SDV is approaching. An SDV on-board computer on the SDV determines an animal type of the animal based on the captured image of the animal, and then predicts a direction and speed of movement of the animal based on the animal type of the animal and the captured description of the environment of the animal. The SDV on-board computer then determines a probability of a physical encounter between the SDV and the animal, and adjusts the speed and direction of the SDV accordingly in order to reduce a likelihood of the SDV striking the animal."
44,Non-Alcohol,"Machine (1) for extracting puree, or fruit juice starting from vegetable or animal food, such as a rough extractor or a fine extractor. The machine (1) comprises essentially a cylindrical body (2) having an inlet (3) for the product to treat, an outlet (4) for a part of the product that can be used and an outlet (5) for another part of product to dispose of. The rotor (6) is wheeled to a motor (80) by a shaft (15). The product that is put in the cylindrical body (2) of the machine (1) is pushed by centrifugal force by a plurality of blades (20) of the rotor (6) to pass through a sieve (7) having holes (8) and a cylindrical or conical shape. The blades (20) of the rotor (6) comprise, in particular a first portion (21) having a first concavity and a second portion (22) having a second concavity opposite to the first."
45,Alcohol,"An isopropyl alcohol-producing Escherichia coli equipped with an isopropyl alcohol production system, having at least one enhanced enzyme activity selected from the group consisting of an enhanced malate dehydrogenase activity, an enhanced NAD(P)+ transhydrogenase (AB-specific) activity, and an enhanced thiolase activity, and an isopropyl alcohol producing method including producing isopropyl alcohol from a plant-derived raw material using the isopropyl alcohol-producing Escherichia coli."
46,Non Autonomous,"A method and apparatus for providing a vehicle camera calibration includes choosing overlap images from among the image information captured by a camera mounted on a vehicle, and filtering images having the same vehicle attitude from among the chosen overlap images on a basis of a map coordinate system and status information of the vehicle, picking out objects in the filtered images, separating stationary objects from the picked out objects, and predicting an angular misalignment with respect to the separated stationary objects."
47,Autonomous,"A computer-implemented method, system, and/or computer program product causes a self-driving vehicle (SDV) to avoid a physical encounter with an animal. An SDV on-board computer on an SDV receives an animal predicted movement signal from an animal signal transceiver worn by an animal, and an SDV movement signal from a set of SDV sensors on the SDV that track movement of the SDV. One or more processors determine a probability of a physical encounter (E) between the SDV and the animal exceeding a predefined confidence value (C) based on the animal predicted movement signal and the SDV movement signal. In response to determining that E>C, the SDV on-board computer instructs an SDV control processor on the SDV to direct SDV vehicular physical control mechanisms on the SDV to adjust the current speed and direction of movement of the SDV."
48,Non-Alcohol,"A method and apparatus for forming a beverage. Movement of a brew chamber may automatically enable the provision of beverage precursor liquid into a reservoir in a brewer, which is then used (heated or not) to form a beverage. For example, closing of the brew chamber may cause a lid for a water reservoir to be fully opened or otherwise permit movement of the lid to allow access to the reservoir, allowing a user to provide water into the reservoir. The reservoir lid may open with an abrupt action, causing attention to be drawn to the reservoir lid. In another arrangement, closure of the brew chamber may cause actuation of a baffle, pump, valve or other device to provide a suitable amount of water to a reservoir for beverage formation. In another arrangement, opening of the brew chamber may cause the reservoir lid to be automatically and simultaneously opened with the brew chamber."
49,Alcohol,"Apparatus for the removal of sediment from sparkling wines, designed to remove the capsule covering the neck of a bottle (18) containing sparkling wine, comprising: a frame (12), a tilting mechanism (14) comprising: a holder (16) for supporting a bottle (18) in a predetermined position, said holder (16) being movable on the frame (12) between a low position, in which the neck is inclined downwards, and a high position in which the neck is inclined upwards, and a capsule removing mechanism (32) provided with at least one capsule removing knife, said capsule removing mechanism (32) being movable on the holder (16) and synchronized with said holder (16) so that the said capsule removing knife or knives remove(s) the capsule, when the holder (16) is in a predetermined angular position relative to the horizontal. The capsule removing knife is movable relative to the capsule removing mechanism (32)."
50,Non Autonomous,"A method includes receiving and storing sensor data including a first plurality of data points indicative of a plurality of respective states of the environment external to a vehicle at a plurality of respective times, external data including a second plurality of data points indicative of an additional plurality of respective states of the external environment, and synchronization data. The external data is data that was received by the vehicle from a handheld mobile communication device of a pedestrian external to the vehicle via a wireless link, and is indicative of objects sensed by the handheld mobile communication device. The method also includes generating an animated re-creation of an event involving the vehicle using the stored data, and causing the animated re-creation of the event to be displayed."
51,Autonomous,"Systems (100) and methods (600) for providing a robotic vehicle (100) with tip over prevention. The methods involve: determining a stability footprint, attitude and orientation of the robotic vehicle; computing a center of gravity of the robotic vehicle; projecting the center of gravity onto the stability footprint; determining whether the center of gravity is within an acceptable region of the stability footprint; calculating a new desired configuration for a movable component of the robotic vehicle when a determination is made that the center of gravity is within the acceptable region of the stability footprint; and commanding the movable component (106) to the new desired configuration."
52,Non-Alcohol,"Disclosed are compositions and methods related to a eukaryote of the order Thraustochytriales and family Thraustochytriaceae which when cultured produce quantities of unsaturated fatty acids, such as omega 3 (n-3) and/or omega 6 (n-6) oils, such as DHA, EPA and DPA, capable of being purified and used as all such compositions are used and more, because of their means of production."
53,Alcohol,The present invention relates to methods of degrading or converting biomass material enriched with hemicellulosic material into fermentable sugars.
54,Non Autonomous,"The present application provides a solar canopy station having a processor. The processor receives requests for delivery of goods or services and transmits the delivery request to a provider along with information regarding the processor location. The provider provides the requested goods or services. The station also is provided with a mechanism to couple the solar canopy to a battery, which may be a vehicle battery such as an electric car or electric scooter. The solar canopy would provide electrical energy either directly to the battery or through a power conditioner and, optionally, a storage facility. The solar canopy, storage facility, or power conditioner may be provided to power equipment associated with providing services such as, for example, power refrigeration units or freezer units to allow delivery of perishable and frozen goods."
55,Autonomous,"A system and method for modeling supervisory control of heterogeneous unmanned vehicles through discrete event simulation is provided. Generally, the system contains a memory and a processor configured by the memory to perform the steps of: simulating events in the system; simulating arrival processes for the events in the system; simulating how long a human operator takes to respond to the simulated events in the system, where the time that the human operator takes to respond to a simulated event is referred to as a service time; and prioritizing the events to be handled by the human operator, wherein the system models human operator involvement in the unmanned vehicle system."
56,Non-Alcohol,"Methods and systems for recovering, processing, containing, and transporting water obtained from an ice source, i.e., a glacier, ice sheet, ice cap, etc., are described herein. The ice obtained from the ice source holds unique properties and is processed as a beverage for consumption having unique properties. Further, the resulting product is produced and transported with minimal human alteration and reduced energy input as compared to conventional methods for packaging water."
57,Alcohol,"A method for the production of aliphatic alcohols and/or their ethers, comprising the step of reacting a substrate of the general formula (I): in which m is 0, 1, 2, 3, 4, 5, 6, 7, 8 or 9 and n is 1 or 2; R1 is hydrogen, a linear, branched or cyclic alkyl rest, a primary alkanol rest, an aryl rest or one of the following radicals: and R2 is hydrogen or âCH2OH; with hydrogen in the presence of a hydrogenation catalyst system, wherein the hydrogenation catalyst system comprises: a hydrogenation catalyst comprising Re, Fe, Ru, Os, Co, Rh, Ir, Ni, Pd and/or Pt; and an acidic additive selected from the group of organoperfluorocarboxylic acids, hydrochloric acid, formic acid, acetic acid, phosphoric acid, sulfuric acid, sulfonic acid and/or organic compounds comprising sulfonic acid groups, phosphoric acid groups and/or phosphonic acid groups; with the proviso that the acidic additive is a liquid and/or at least partially dissolved in the substrate (I) during the reaction of (I) with hydrogen in the case that R2 is CH2OH."
58,Non Autonomous,"An in-vehicle information system includes a camera and a controller that accept gesture input. A controller receives frames of video data and generates trajectory data for a movement of a hand in the video data. The controller uses a first hidden Markov model (HMM) to decode a sequence of strokes from the trajectory data, removes a starting and ending stroke to form an edited stroke sequence, and re-normalizes the strokes in the edited stroke sequence. The controller uses a second HMM corresponding to a predetermined set of characters to identify a character corresponding to the re-normalized edited stroke sequence."
59,Autonomous,"A kit for building an adaptive unmanned CIED vehicle comprising a vehicle chassis having a locomotion system for moving the vehicle in an operating environment, and a controllable steering mechanism for steering the vehicle as it moves in the operating environment; one or more motors for coupling to the locomotion system to the controllable steering mechanism; a remote control unit for communication with and for controlling the one or more motors and the controllable steering mechanism; payload devices for performing tasks attributed to the vehicle; and a platform for providing the capability of adapting the vehicle to perform new tasks in view of evolution in the operating environment, the platform comprising: a casing for mounting on or in the vehicle chassis; a computing device for connection to a selection of payload devices from the payload devices, and a memory for storing computing instructions for controlling operation of the selection of payload devices; a power source for powering at least one of the payload devices; power ports connected to the power source; and data ports connected to the computing device for connecting at least one of the payload devices to the computing device; wherein the computing device, the power source, the power ports and the data ports are mounted to the casing and wherein the payload devices and the one or more motors are for mounting to either the vehicle chassis or the casing. The payload devices are plug and play devices and are connected to the platform using standardized military connectors."
60,Non-Alcohol,"The present invention relates to a water-soluble defructosylated pea extract, substantially free of proteins and peptides, as well as to an oligosaccharide composition such as that contained in said extract. It also relates to the method for preparing the same, and to the use thereof as a prebiotic agent."
61,Alcohol,"The present invention relates to reduced toxicity of functional alcoholic beverage composition comprising distilled alcohol, deionized water, 18Î²-Glycyrrhizin or 18Î±-Glycyrrhizin and a sugar alcohol or sugars, having pH in the range of 4.0-9.0. More particularly, alcoholic beverage composition comprises distilled alcohol, deionized water, 18Î²-Glycyrrhizin or 18Î±-Glycyrrhizin and a sugar alcohol/sugars as hepato-protectants. The present invention provides an alcoholic beverage for reducing hepatotoxicity caused by its consumption and a process to manufacture the said alcoholic beverage."
62,Non Autonomous,"An active device of a vehicle, for example a seat belt tensioner, is triggered by reference to an estimated vehicle roll rate exceeding a threshold roll rate. The estimated vehicle roll rate may be conditioned according to vehicle speed, and is determined from inputs of vehicle lateral acceleration, steering wheel angle, and steering wheel speed."
63,Autonomous,"A vehicle computer system in an autonomous vehicle includes a wireless transceiver configured to communicate with a remote device. The vehicle computer system also includes a processor in communication with the wireless transceiver. The processor is configured to receive instructions from the remote device to initiate an automatic valet-mode, receive data from the remote device indicative of a user's pick-up location, and send instructions to a vehicle module instructing the vehicle to drive to the user's pick-up location."
